LOAN_ID,APPLICATION_DATE,APPLICANT_AGE,ANNUAL_INCOME,EMPLOYMENT_STATUS,EMPLOYMENT_LENGTH_MONTHS,CREDIT_SCORE,EXISTING_DEBT,NUM_CREDIT_ACCOUNTS,LOAN_AMOUNT,LOAN_PURPOSE,LOAN_TERM_DAYS,INTEREST_RATE,STATE,LOAN_DEFAULT
PHR62GDSWM31YIHA,2025-01-07,35,74301,Employed,42,704,2975,8,2000,Debt Consolidation,30,16.74,NY,Y
IR4COWGZRIXA11DP,2024-03-23,32,48629,Employed,30,555,29240,7,2000,Education,365,26.29,CA,N
G8SBI4Q2Y9V86WZS,2024-11-18,18,38128,Unemployed,0,576,25834,4,1500,Home Repair,30,24.75,CA,N
3T60RJIW1SWJCKJL,2024-07-05,27,37949,Employed,14,656,9582,4,3000,Education,30,14.0,TX,N
TEIYZCOTOHP6VZ41,2024-02-02,34,59111,Employed,9,731,14577,5,2500,Travel,30,15.38,IL,Y
NAM148P0TVHHPBMY,2024-08-29,24,32050,Employed,5,801,6806,4,1000,Home Repair,90,11.37,NC,N
OFQEWAOUAXEQBNHL,2024-12-26,31,69841,Employed,23,728,9530,5,2000,Emergency,60,14.75,CA,N
1N13JCAT9MX2X18H,2024-05-24,35,37697,Self-Employed,122,607,28508,6,2000,Emergency,90,20.45,IL,N
AFEYUHZ1GV0E38DA,2024-11-14,31,49938,Employed,103,687,8898,4,7500,Car Repair,180,17.53,MI,N
LY8OZCYWD14VE92M,2024-02-23,41,118273,Employed,11,598,32593,2,2000,Emergency,60,16.88,IL,N
PNSM43D8W3ZP08J3,2024-05-16,49,68174,Self-Employed,21,597,28944,3,500,Debt Consolidation,90,23.14,CA,Y
TRP0J43D5IQVNB4G,2024-07-08,36,32347,Self-Employed,22,686,1135,5,1500,Medical,60,12.83,WA,Y
H2M5ZJA8DZR1YXR2,2024-07-06,31,35367,Self-Employed,38,764,19351,3,2000,Travel,30,11.99,IL,N
DHYLURTP0LZJJEGE,2024-10-19,22,31195,Employed,48,691,5349,7,7500,Medical,365,15.42,PA,N
T1GHR09SKDGIGATJ,2024-03-27,65,36093,Employed,21,717,42289,4,500,Emergency,30,13.3,NY,N
9TZE5R5UQPGB7R3O,2024-07-01,59,78206,Retired,0,729,499,1,2000,Debt Consolidation,365,15.84,FL,N
CWBFUK9E1V2ISQP4,2024-04-07,28,49806,Employed,61,791,16175,8,2500,Medical,60,11.44,CA,N
9KWV08HHXFGCAQVK,2025-01-12,44,73518,Student,0,633,9197,4,5000,Emergency,30,24.08,FL,N
IZZQY72WX7PTX63C,2024-06-01,26,55785,Self-Employed,21,662,2778,4,2000,Emergency,365,16.11,CA,N
FL0UKEYZ7SRCBPLJ,2024-08-01,53,78405,Self-Employed,58,671,34246,3,2000,Travel,180,17.31,NY,N
D84U89YJB1QX6GVW,2024-01-05,26,42034,Self-Employed,3,552,16448,6,2500,Emergency,30,23.11,NY,Y
RDMLY4LYK83TQLL8,2024-06-19,18,21295,Employed,143,509,8087,5,1500,Debt Consolidation,30,28.21,IL,N
OS9XTOGN1W1HT7PZ,2024-10-04,32,53341,Employed,82,627,3118,0,3000,Education,60,19.69,OH,N
E9VIFTTD96QE3RZS,2025-01-06,43,80298,Unemployed,0,702,17528,3,1500,Car Repair,30,16.95,GA,N
J49ITN7S55J2O7S3,2024-12-04,49,63050,Unemployed,0,669,13592,6,7500,Home Repair,365,12.62,AZ,Y
KKV9RFTMTTQLGZUI,2024-02-20,35,37184,Contract,100,684,6175,5,10000,Debt Consolidation,30,13.37,NY,Y
1B0Z3NX39RBSV55P,2024-02-18,41,92716,Contract,61,569,20939,2,5000,Emergency,90,24.51,IL,N
SQ0OXFQ8MYX444NL,2024-10-29,33,55486,Contract,19,640,7336,6,1000,Emergency,60,18.13,CA,N
Z15BCW790PDW5PY6,2024-06-09,43,45896,Student,0,783,19340,5,1000,Emergency,90,14.95,NY,N
B2KNFTU2GC5WI6FQ,2024-03-11,42,38504,Employed,16,692,16729,4,10000,Other,365,14.56,NC,N
JJA26YFPMVXPJ4HN,2024-04-23,19,27107,Student,0,660,5098,0,2000,Medical,180,17.84,TX,N
RIUU9K9XJUY0BVR6,2025-01-05,18,53571,Unemployed,0,567,1889,3,2500,Home Repair,180,20.11,NY,Y
K2VMWWYZX4W6XLPU,2024-07-29,18,33304,Student,0,686,2169,4,3000,Home Repair,60,16.9,TX,N
0DK0GET8T63J3R30,2024-02-25,34,106765,Self-Employed,34,632,6021,4,3000,Medical,90,22.19,WA,N
ME8F840982N2ATQY,2024-05-01,32,55005,Employed,21,703,4254,5,1000,Education,90,11.14,NV,N
YV37DIA5U6HC36KO,2024-09-08,30,39826,Employed,42,643,38647,3,1000,Car Repair,90,19.28,TX,Y
F8KRD5EQY08P0FOD,2024-08-12,50,101947,Employed,3,584,1129,8,1500,Medical,90,21.16,FL,Y
RO8BNP84DYT9MOGE,2024-06-10,60,52684,Employed,6,682,40259,6,3000,Debt Consolidation,365,16.11,IL,N
4QXXVA2IEUC1HH5L,2024-05-03,23,39255,Self-Employed,2,757,235,5,5000,Emergency,365,12.96,PA,N
F6A4FEJGXAA2ILGB,2024-06-01,47,31825,Employed,9,656,3991,6,1000,Emergency,30,12.54,OH,N
0S0R2SDS8B25SQ8C,2024-04-03,46,48898,Employed,47,712,1586,5,2000,Debt Consolidation,60,15.24,FL,Y
ROYR6CCVCJWTL9TQ,2024-05-11,25,35023,Employed,36,534,9995,4,1000,Car Repair,180,24.94,TX,N
VDZ4X1ZHQIMQODPX,2024-06-29,40,105317,Self-Employed,9,746,342,4,1000,Other,30,12.83,TX,N
NF7C3DD03UVULEMX,2024-11-10,23,43705,Employed,75,572,1050,5,500,Car Repair,365,25.11,AZ,Y
15Z8VMUHXID4N1U3,2024-02-12,47,123139,Contract,96,662,17825,4,1500,Travel,30,16.67,NC,Y
493WXA73JGZLMA5U,2024-03-16,19,40336,Self-Employed,42,562,18517,7,7500,Emergency,90,23.83,CA,N
OFWB0HPMNZ1UDBFW,2024-07-01,23,33883,Employed,5,741,276,3,1500,Emergency,60,17.68,IL,Y
YJXRPJ1EPKYRYBOV,2024-05-07,42,39195,Unemployed,0,674,3646,2,1000,Emergency,30,13.34,CA,N
AKHEJLA0GNZS43C5,2024-12-31,55,60078,Self-Employed,58,718,31812,3,1500,Home Repair,30,17.15,NV,N
BA75UUZPEAL2W37D,2024-07-13,33,47864,Self-Employed,10,622,1664,5,500,Home Repair,365,18.64,IL,N
4IVSOLMLGSES6M03,2024-09-30,33,35689,Employed,57,732,8500,1,500,Car Repair,30,14.08,AZ,N
3IFHV1XG1R11Q7UW,2024-06-25,41,76679,Self-Employed,132,743,4704,3,1500,Car Repair,30,15.05,IL,N
W5WFCPKJCSLQC3C5,2024-10-07,44,38463,Employed,83,721,510,4,1000,Emergency,365,13.99,NY,Y
4WSQT26Q3XLRFCD6,2024-08-04,43,93885,Self-Employed,41,747,11363,4,1500,Car Repair,180,15.29,CA,N
MZSGIPPSFNKOMV2X,2024-12-16,48,29592,Self-Employed,47,597,14428,5,1000,Education,90,18.19,CA,N
CDYK0X65MUFM8ZOV,2024-05-17,63,26925,Employed,52,634,3517,6,5000,Travel,30,22.43,MI,N
7LN23Y30YSXPNNGH,2024-04-11,52,74558,Retired,0,788,54505,4,3000,Emergency,180,11.85,NY,N
8RIEC4D145BM1ENF,2024-04-08,37,50342,Employed,67,673,5941,2,500,Emergency,90,9.4,TX,N
313FPOYIPK0QTL3Q,2024-02-28,18,44547,Student,0,615,28553,4,1500,Home Repair,60,22.45,CO,Y
4N89QKNS832EJX5T,2024-03-01,64,43951,Employed,31,616,29495,3,1000,Emergency,180,20.1,PA,N
D44K1J6FP8HQMABS,2024-05-17,25,29591,Student,0,773,38073,7,2000,Other,90,11.68,MI,N
I9NB74X2EK3ZEZQA,2024-07-10,28,30343,Retired,0,688,20775,2,1000,Travel,180,11.55,NV,Y
CJ4T0SEKKBP2QD6V,2024-11-05,34,69709,Employed,76,698,1235,2,500,Car Repair,90,19.64,CA,N
ASIFPWIOXD9CSS9T,2024-04-21,27,32903,Unemployed,0,660,15034,2,2000,Debt Consolidation,90,12.62,TN,Y
OQW9JA2M0W10LBT3,2024-10-22,19,20508,Self-Employed,26,677,53109,4,2500,Debt Consolidation,90,16.43,PA,N
G2QZW3C1QKBHB7S9,2024-12-21,41,73767,Employed,23,537,46862,6,1000,Home Repair,90,25.3,IL,N
TJ1GM25LEN606N9R,2024-03-13,35,49545,Self-Employed,17,669,6631,1,2500,Debt Consolidation,90,13.68,GA,Y
R7S20CV3TLCXLVPY,2024-12-27,31,71144,Employed,48,637,14615,5,2000,Other,180,18.06,WA,Y
MB5M9J98CWN2Y8FV,2024-12-17,18,30794,Unemployed,0,607,12996,5,1000,Other,180,21.95,CA,N
2BC2NNUVY8N1UTOX,2024-01-30,34,44815,Employed,16,685,40868,7,1500,Other,30,16.32,OH,N
IE0RNUJJQ9K6RE4Q,2024-11-18,26,51265,Employed,4,652,11268,5,1000,Emergency,60,16.88,NC,Y
6QDY4LMCT64Z7W2S,2024-09-10,37,31101,Retired,0,670,1192,2,2000,Medical,30,17.67,OH,N
EHE2ATN2TWDL9ZS1,2024-09-01,34,39078,Employed,3,670,4218,0,500,Home Repair,90,16.46,NC,N
3C9XQYM52XG8P6BE,2024-02-01,19,49727,Employed,135,727,9941,6,3000,Emergency,90,15.6,PA,N
FFLZM764JWTEKTSG,2024-09-27,53,25409,Employed,4,650,18753,4,10000,Home Repair,30,12.46,CA,N
7FXZV4U3BBXUX1OX,2024-04-10,51,35002,Unemployed,0,658,16742,2,2500,Home Repair,30,15.09,NY,N
RWK8R2YKCCPRHVLZ,2024-11-03,20,71871,Self-Employed,9,793,1884,4,7500,Emergency,365,11.62,NY,Y
049ENULQJIDKNWI5,2024-07-05,34,104641,Unemployed,0,668,16358,1,2000,Travel,90,12.41,AZ,N
FLUL1RSRLA8S8HMB,2024-12-01,26,53646,Employed,29,707,374,2,1500,Home Repair,60,16.4,IL,N
R5XQT4P501NOUHTC,2024-05-21,33,31335,Employed,27,614,8748,2,2000,Medical,90,19.73,TX,Y
S1K9YE9O2M71HSSB,2024-01-04,18,27833,Employed,57,746,9618,4,1500,Other,60,15.94,TX,N
ELRQVSLWF90KM3TZ,2024-08-09,51,21775,Employed,250,760,10007,3,500,Education,180,9.5,NY,Y
K3NY9V20YAR821UZ,2024-05-06,20,38470,Employed,45,592,1843,2,3000,Emergency,60,18.11,CA,N
VGWW4FYB8DALFYO1,2024-06-14,50,45324,Employed,64,575,4047,6,2500,Other,60,25.76,FL,N
750CEHLXSLG6MM1Z,2024-02-19,55,75719,Student,0,664,7834,3,1500,Car Repair,90,13.98,OH,N
XYVGIUI9KKHZLM72,2024-07-11,37,51673,Student,0,628,24442,7,2500,Medical,90,16.92,CA,N
JEYN9382KKZMPJRH,2024-01-15,54,77525,Retired,0,663,19708,5,2000,Medical,30,12.44,OH,N
T7ZEWVIYTWBOZD1A,2024-11-14,39,32533,Unemployed,0,709,15656,7,2500,Medical,365,14.48,GA,N
T7O75RH8LX6DUT07,2024-09-17,41,179165,Employed,38,692,7914,4,1000,Debt Consolidation,60,12.36,TX,Y
6G5G79OR7875AUD9,2024-06-08,59,49516,Employed,20,731,8953,2,2500,Other,365,12.95,NC,N
K9TR74QGEFQJG02U,2024-02-16,47,39719,Employed,44,659,66974,5,1500,Emergency,180,13.22,TX,N
1G463SDYGFLIJI18,2024-11-21,46,59591,Employed,4,720,54113,1,500,Other,60,14.68,TX,N
K0AXYCELOS6ZLE6K,2024-05-08,35,54921,Employed,36,756,13383,4,3000,Travel,30,9.41,NY,Y
WHEF0VOTQTXHI15C,2024-07-05,27,58356,Employed,22,592,1171,5,1500,Emergency,90,21.48,NC,N
QZCUCTSUFLSEHUDS,2024-12-19,45,59377,Employed,6,634,18567,2,1500,Education,365,17.41,CA,N
3QSQCQ30O30UBMC9,2024-05-09,72,33657,Student,0,786,5417,6,2000,Home Repair,90,10.55,GA,N
7C7BO119XP9N56NY,2024-10-12,45,22099,Employed,49,773,17256,4,3000,Home Repair,60,8.91,FL,N
XTXMGTT0IAAKYTT3,2024-04-06,35,50260,Retired,0,593,5801,4,3000,Emergency,30,18.44,TN,Y
IMJ70E3P15AHDBVZ,2024-01-27,61,25633,Employed,19,630,23737,4,3000,Home Repair,60,19.08,CO,N
B0OIH5CSK30LVYLK,2025-01-13,44,54607,Self-Employed,46,659,6977,2,500,Emergency,180,16.67,OH,Y
FXHKC856WPR97Y2L,2024-04-10,58,50913,Self-Employed,18,624,2977,2,1500,Medical,60,21.75,TX,N
OFN1R4KZ36U8UEIH,2024-10-03,34,83855,Employed,33,677,2499,4,1000,Medical,90,13.99,GA,N
X74D0GJYV5G10UR5,2024-08-11,50,52482,Employed,19,730,6983,4,2000,Home Repair,180,15.12,NC,N
L8A78E9RIVH6T1NT,2024-02-01,27,52310,Employed,5,607,33726,6,1500,Car Repair,30,19.69,NY,N
MJSRD9Q46NOUHFJ7,2025-01-11,39,52102,Employed,97,659,8722,7,2000,Emergency,365,14.45,MI,Y
UPFLN4RXYJ38XRG2,2024-08-04,38,73787,Employed,52,611,17184,3,3000,Emergency,30,21.68,TX,N
GZR7TXCB48Y1O4IZ,2024-06-15,46,34314,Contract,5,746,13006,1,2500,Medical,60,17.44,NY,N
ASNWYWRRATATJ9A3,2024-12-25,62,65712,Employed,31,654,60380,4,2000,Debt Consolidation,90,13.56,MI,N
Y36DDFGS3JONOU9I,2024-07-10,55,47066,Employed,145,729,29928,2,2500,Education,90,15.73,MI,N
Y4X41DNTCAGRP2U4,2024-02-14,30,42673,Unemployed,0,761,9729,9,1000,Home Repair,365,11.06,AZ,N
DTBH55RBC76UB7L8,2024-03-13,34,63799,Employed,49,573,29553,2,1500,Other,90,23.8,IL,N
V1ZOCFI4O6L1F90S,2024-10-01,18,29713,Unemployed,0,745,65795,4,1000,Car Repair,180,14.59,MI,Y
9BP4M18O1BJ9RM7P,2024-03-01,27,53360,Employed,93,664,1120,1,7500,Other,30,15.38,FL,N
YXDW2ZCFZW0LDALM,2024-03-08,26,50331,Employed,16,582,53388,4,500,Car Repair,365,20.19,PA,N
JEGQTOAMDVLNKND6,2024-02-05,32,36122,Employed,117,632,12410,3,2500,Car Repair,365,19.27,CA,N
69UGNEKRCPPRCJIW,2024-09-27,44,136977,Employed,77,427,13977,6,2000,Car Repair,90,24.85,MI,N
VHDK8LW2LM349EL8,2024-05-19,30,31637,Contract,14,661,4593,5,1000,Emergency,60,13.29,CA,Y
HL88KZRUIN3OEUVT,2024-01-30,65,36351,Unemployed,0,732,46302,1,500,Debt Consolidation,365,15.41,FL,N
YT8QZPKY32ORWIXZ,2024-09-06,75,66463,Employed,25,685,15569,4,3000,Car Repair,90,16.62,NC,N
2C9ROS7YT2M6TWD1,2024-07-17,35,31924,Unemployed,0,722,8787,4,1000,Emergency,90,14.78,GA,N
XMXB9YO18PAJSSUU,2024-07-26,18,42174,Unemployed,0,661,3311,1,500,Medical,30,18.62,OH,N
QO1VSMADO8E7FLQH,2024-09-10,52,42532,Unemployed,0,633,17232,6,1500,Emergency,180,20.58,CA,Y
RRPZLK3E4XYF9IGF,2024-05-07,37,98983,Self-Employed,86,665,3744,4,1000,Emergency,90,12.77,TX,Y
U8IOGXPBWHVNZH13,2024-12-25,23,20104,Employed,2,672,29072,6,500,Other,90,13.8,CO,N
CD5GLQJ5SXVWVM4W,2024-10-18,40,59658,Employed,6,724,14438,6,1500,Education,90,11.72,FL,N
3ZKWDEEKGYSPENGW,2024-01-17,26,75375,Employed,48,571,1844,4,2000,Emergency,180,24.19,TN,Y
YX9TRFLQBMAE38SR,2024-05-29,43,80862,Employed,21,752,4637,1,1000,Car Repair,30,16.63,PA,N
YO4RCB1KJTGQ01TE,2024-10-19,32,35847,Employed,162,628,68995,2,500,Emergency,30,22.47,FL,N
E13N3BZT9D31K9QM,2024-01-07,29,31489,Employed,182,795,31217,5,1000,Debt Consolidation,365,14.13,TN,N
3P91I3VMZWFFHHCM,2024-08-17,35,53710,Employed,46,746,27296,8,1500,Car Repair,90,17.97,PA,N
KTLZKJ49YD82795E,2024-10-07,27,51108,Self-Employed,7,821,512,3,2500,Emergency,90,12.82,TX,N
5IZ31YRUJOQW5DSK,2024-03-31,33,61501,Employed,20,713,39458,1,3000,Other,365,15.06,TX,Y
7N8LA100QXMCTHPH,2024-06-05,35,70182,Unemployed,0,663,17282,5,2000,Home Repair,90,16.42,PA,N
J3MUURMYBD2QE4PA,2024-04-22,53,63627,Unemployed,0,632,64709,1,500,Home Repair,60,19.57,TX,N
8HYEXF7JXJN6FOKZ,2024-04-09,31,30673,Employed,1,712,1167,4,500,Travel,60,16.13,IL,N
IXZAREIYAZ39PECN,2024-07-24,29,18322,Employed,96,816,21524,1,2500,Emergency,30,13.55,CA,Y
0DL5E11E9FTAXP0W,2024-03-04,33,57138,Employed,31,767,1520,4,1000,Car Repair,30,13.92,FL,N
FOY4DD1VN8LFJDTV,2024-07-25,33,80322,Employed,92,622,4916,4,2000,Education,180,21.65,PA,Y
V2Y4XKSS0KB68RER,2024-01-01,59,41676,Employed,3,842,8175,1,2500,Emergency,30,11.68,NY,N
VT997E4UNY181ACJ,2025-01-11,50,80990,Employed,72,675,2512,6,2000,Medical,60,19.83,NC,N
BC2SWSOZCTWJLSH3,2024-08-05,50,71564,Employed,66,696,17686,2,1000,Debt Consolidation,30,14.15,CA,Y
TOW4YCZ04CDPQVL0,2025-01-15,19,47107,Employed,168,670,43633,4,2000,Debt Consolidation,365,14.0,CA,N
0EZZF8S2ZGE2J51B,2024-04-12,34,58954,Employed,4,623,18783,2,500,Emergency,90,19.39,NY,N
3JCZUCQMRUNJDU0I,2024-02-01,31,27048,Unemployed,0,675,3956,8,2000,Home Repair,180,13.56,CA,N
SB5IQNF74T60PLOZ,2024-03-30,39,60325,Employed,24,698,30620,8,2500,Education,30,18.74,CA,N
JCNS6G298CQK4LTA,2024-07-04,24,59863,Self-Employed,51,799,3034,4,2000,Home Repair,90,12.74,CO,Y
HUKWQVR1H61IAOIM,2024-10-09,42,44548,Employed,8,713,14550,2,1000,Education,60,12.17,CA,N
458AX40DTIRC9ZD7,2024-05-01,32,30106,Employed,138,695,10025,2,2000,Medical,180,13.95,CA,N
6SZN9DDE3CUP8IJL,2024-07-17,25,29827,Student,0,696,45586,2,5000,Car Repair,30,14.12,NY,N
2Z0LJCH2VFFQOT8H,2025-01-02,34,26641,Employed,111,621,7890,4,3000,Emergency,180,21.54,GA,Y
LJEFY3ZB4LDIMSYJ,2024-07-14,62,39636,Employed,8,681,23496,5,2000,Car Repair,90,11.38,PA,N
9BOQ0IQ2FA39E3NW,2024-10-08,44,41358,Self-Employed,108,633,3155,10,2500,Medical,180,19.95,PA,N
XUJ3AC6PE63LBQGU,2024-03-17,59,26122,Employed,30,717,30360,3,2500,Emergency,90,16.42,TX,N
3OBYGHGK5BWIKOTC,2024-12-10,46,24837,Employed,210,754,13611,2,2000,Medical,90,11.22,CA,Y
KEH5SW2292MTR6SN,2024-05-25,38,84592,Unemployed,0,663,9433,1,1000,Emergency,90,11.6,CA,N
GLH62C9T199DXJ37,2024-01-29,25,53438,Unemployed,0,697,15572,4,3000,Debt Consolidation,30,15.18,IL,N
C9H42M44GV3Z6BZ8,2024-07-16,70,42357,Employed,123,710,902,4,500,Home Repair,90,14.81,NC,Y
UUG95RLRDIHSA7HE,2024-04-17,27,74984,Student,0,699,2687,2,1000,Emergency,90,14.48,TX,Y
Z74LAV71448N7ODK,2025-01-13,23,65074,Employed,80,658,8732,5,1000,Emergency,90,17.42,IL,Y
EF828XG8Y72IVGLY,2024-09-22,55,66189,Employed,31,614,7107,8,3000,Debt Consolidation,60,19.83,FL,N
E088O98BV78HU7F0,2024-11-18,45,63331,Unemployed,0,679,1788,6,1000,Home Repair,365,13.54,PA,N
I9G5DZX5QJICJDAN,2024-04-28,42,81096,Employed,180,592,19550,3,1500,Emergency,90,18.47,PA,N
085RNTDR5XYFC4KL,2024-05-26,53,15928,Self-Employed,8,727,19731,6,10000,Emergency,90,18.39,NC,N
8CGN0T6DVWRB7F6F,2025-01-06,36,31260,Employed,46,648,5134,6,3000,Emergency,180,15.51,CA,Y
DHGZZ0JKIBU4FMPK,2024-08-10,55,41059,Student,0,688,21123,3,1500,Other,30,13.86,FL,Y
XVHAGKC4LORXDTG5,2024-08-05,30,37688,Employed,53,699,16706,5,2000,Emergency,60,15.53,TX,Y
NQJQIJC1YDMT8VT4,2024-02-03,23,38427,Employed,93,687,3364,6,500,Emergency,180,15.34,PA,N
3PT5R5RC6ZS62YWE,2024-02-25,53,63064,Self-Employed,41,742,7150,1,1000,Debt Consolidation,30,15.68,GA,Y
1G983EP9P9W4J66C,2024-09-07,35,74547,Self-Employed,51,567,9084,1,2000,Emergency,60,25.58,TX,N
NOLJQ52WSPOFV177,2024-05-26,40,34341,Employed,55,683,7752,4,3000,Medical,365,14.21,NV,N
UDKTMONRVBJFVYB6,2024-11-15,47,27754,Student,0,714,11941,5,1000,Medical,90,15.67,CA,Y
LI076A3KKRZD5E9P,2024-07-03,32,53571,Employed,19,774,11029,3,3000,Medical,180,10.49,FL,N
3JPXGH30153SFLSE,2024-04-26,56,21360,Employed,54,739,806,5,500,Travel,90,15.59,NY,N
45BG34IQ7ZJ3SWEB,2024-09-25,36,66834,Employed,8,609,16397,5,1500,Travel,90,19.93,CA,Y
NVG5VMF60YKNFU84,2024-08-14,39,177478,Unemployed,0,691,55554,10,3000,Home Repair,90,18.19,WA,N
XYJOA21A6XVAJ2K8,2024-07-25,18,108937,Employed,28,720,3458,9,500,Home Repair,60,15.18,NC,N
XPNMJQY3ODSX4NXV,2024-08-24,34,27098,Self-Employed,63,734,8941,3,7500,Emergency,60,12.21,GA,Y
KDC9X5JZ6KF1622V,2024-10-18,41,35129,Retired,0,694,23664,4,500,Emergency,30,16.94,PA,N
XYZX9JPNBZUG0IT2,2024-09-24,53,28716,Employed,56,592,1243,4,7500,Emergency,60,18.9,CA,Y
6YS445GDEJ31GYMD,2024-10-31,41,37533,Student,0,680,32150,1,2500,Emergency,90,15.25,TX,N
M0L2LJK4Q5V7C6S5,2024-08-18,26,42285,Employed,4,850,27404,5,500,Home Repair,90,10.27,OH,N
NKB4EHOU6QLZ2RWG,2024-11-18,32,21284,Contract,125,569,1766,2,2000,Other,365,26.63,NY,N
WAJ1G1R1DWWO8NBH,2024-07-29,20,83390,Employed,30,733,6543,3,2000,Emergency,30,17.9,IL,Y
NAL3GYWIYMENVG3K,2024-06-04,43,55372,Employed,13,686,5618,7,1000,Other,90,14.06,CA,N
K0VM59M6MG87OI0E,2024-05-25,42,57226,Employed,67,746,17182,3,5000,Medical,30,14.1,CA,N
0VGNXB5JTB9XXAYP,2024-04-16,48,54885,Employed,31,640,13383,8,2000,Education,60,15.59,TX,Y
NTRFZWKXXJVE3DZE,2024-04-28,40,44877,Employed,5,671,8304,0,1000,Car Repair,30,17.86,PA,N
EDHHJSHZKBRH7LAY,2024-02-15,22,15000,Employed,77,770,14724,6,1000,Home Repair,180,12.79,NV,N
64YFDS0DJI9KQDGB,2024-12-25,53,21356,Self-Employed,6,666,10097,4,2000,Medical,30,11.71,TX,N
K2L0D1B4XGMPW5D3,2024-03-26,49,79989,Employed,74,569,484,9,1500,Car Repair,60,23.49,OH,N
GO8JN42X2EZC7FOV,2024-06-09,40,37006,Unemployed,0,686,3126,3,1000,Medical,30,16.9,MI,N
2YGNMBY49E7EOBJL,2024-05-21,42,67565,Employed,24,710,26505,5,1000,Emergency,60,13.37,GA,Y
ZY1UU9YMSZDXIMYN,2024-09-07,38,28089,Employed,55,682,23373,2,7500,Debt Consolidation,30,14.11,TX,Y
4U9BXF445CRI8BIX,2024-12-11,29,44438,Employed,11,573,79676,5,1500,Emergency,60,26.48,MI,N
OIQ2Q4QERXDOUADV,2024-07-10,26,43184,Employed,77,688,4237,6,1000,Emergency,90,11.96,NC,N
WKSHY8NBIQUWRXZE,2024-07-13,38,112485,Self-Employed,51,628,5674,4,1000,Emergency,60,18.92,CO,N
1HM38KSZBFFZZDVG,2024-01-10,44,50541,Retired,0,800,14325,5,2500,Emergency,30,10.72,MI,N
